I1s1,I1s2,I1s3,I2s1,I2s2,I2s3,I3s1,I3S2,I3S3,I4S1,I4S2,I4S3,U1S1,U1S2,U1S3,U2S1,U2S2,U2S3,U3S1,U3S2,U3S3,U4S1,U4S2,U4S3
11.72324126,12.7992654,10.59193748,11.12003247,17.2759577,9.547484719,13.43886089,5.099525987,6.461780696,22.13761095,21.41270215,11.62144253,13.21794464,7.701133215,5.579321614,10.45325888,8.470305694,7.460352174,10.07998724,5.270146281,8.65456707,7.560475685,7.492499618,8.843894178
16.62164365,8.101320516,33.10529685,75.79337737,21.46344412,30.16677489,49.63346505,82.86391674,96.60441455,124.7325628,48.78052179,22.72517522,8.697500896,5.802739096,13.32807032,10.92576276,9.604085911,10.50341185,34.78536743,31.36400691,24.80311479,19.37399712,40.62254036,46.57379928
3.803338082,10.49634516,7.45379559,13.47590789,7.207236518,11.77578073,7.567833968,4.293187363,8.264185342,18.58477278,24.27896111,13.45610022,8.306856239,10.46618853,5.54041394,7.977981018,8.621369134,8.733266403,13.50641104,16.88393789,14.08763146,19.92569725,16.25554156,20.24645185
4.377436393,5.288326221,6.580022527,12.91176709,9.800056522,9.147413186,12.7393389,14.18673912,13.75688441,7.057655154,23.68853475,15.27300816,9.166476669,7.531553874,4.406693842,9.865178103,8.123165537,7.979752292,12.37936226,12.29640401,11.48019871,5.49250072,7.934415399,13.3518481
6.449834823,5.759626854,7.397217122,16.37156255,5.612141344,14.79981391,11.61325653,7.031705711,10.8355647,14.472932,14.02865323,11.1342423,5.096167418,4.328187945,4.602264526,5.240286835,9.334656794,9.320699802,12.40569792,6.458893709,6.667520086,39.23634105,7.17379655,11.55065173
12.06589982,7.714201881,6.095945155,6.93848825,8.505914027,8.725384004,8.260138457,12.06241912,9.546562365,29.92636292,15.06675675,12.04116835,7.519895614,7.272512707,6.839464395,9.1538779,10.52418877,10.14152893,8.401501592,8.325623583,10.16244708,12.56533529,14.68265104,16.3885863
