I1s1,I1s2,I1s3,I2s1,I2s2,I2s3,I3s1,I3S2,I3S3,I4S1,I4S2,I4S3,U1S1,U1S2,U1S3,U2S1,U2S2,U2S3,U3S1,U3S2,U3S3,U4S1,U4S2,U4S3
1.404102798,1.353922032,1.303754985,1.654831508,1.755638313,1.654850273,1.805261726,1.704933745,1.454215073,1.805171993,1.557770181,1.757171696,1.404168778,1.303808942,1.504342386,1.905586757,1.654707902,1.554492865,1.905515352,1.604614753,1.704929787,2.306763425,1.704872017,1.504386226
1.153180652,1.353744791,1.403948546,1.354185538,1.454148034,1.453936834,1.504429869,1.45453566,1.303632556,0.953268887,1.604369538,1.453963287,1.153402092,1.45400126,1.303631063,1.403785986,1.504217815,1.704518274,1.403744599,1.654607853,1.604481538,1.403887746,2.15568348,1.353940631
1.858565846,1.805666752,1.859754538,2.008837523,2.006335829,2.363084522,2.009977814,2.406805457,2.361996194,2.109830365,2.457253468,2.362039171,1.707951633,2.207455204,1.909359191,1.959521912,2.407686811,2.314084543,1.909103,2.457626792,2.563068699,1.909409401,2.808769239,2.311843315
1.811646283,1.76216873,1.658936505,2.515039178,2.566703739,2.156796853,2.113053097,2.265912255,2.010440512,2.314196937,2.66897038,2.008048944,1.710645988,1.712917668,1.80850174,2.314330126,2.314722929,2.107812983,2.012455168,2.314944056,2.159153665,2.063996803,2.214574952,2.160076424
1.407304063,1.606219417,1.507034768,1.958431508,1.906712582,1.857513878,1.908133298,1.756321618,1.959014027,1.807454128,1.908389681,2.108730946,1.556821498,1.655966192,1.607277145,1.858277257,2.158610383,2.058577502,2.00847321,1.856612724,1.807561838,2.158916838,2.106729171,2.209950204
1.513379899,1.410017673,1.461073195,1.961916593,1.610053754,1.511511316,1.71272851,1.813489089,1.662165646,1.763054323,1.911452813,1.512183587,1.612955614,1.45982517,1.358991759,1.915773233,1.809306439,1.710586558,1.913216193,1.812439824,1.66514626,2.114048302,1.861849998,1.661963727
